"","ItemLabel","Item","Choice1","Choice2","Choice3","Choice4","Scores","a1","d"
"1","en_1","Wat betekent het woord Difficult?","Moeilijk","Makkelijk","Verschillend","Allebei",1000,2.12,-1.56
"2","en_10","Wat betekent het woord Painting?","Schilderij","Verf","Kwast","Tekening",1000,1.05,-1.22
"3","en_11","Wat betekent het woord Taste?","Smaak","Sfeer","Tandpasta","Aanraking",1000,2.29,-1.66
"4","en_12","Wat betekent het woord Delay?","Vertraging","Slaperig","Aan het liggen","Versnelling",1000,1.81,-1.07
"5","en_13","Wat betekent het woord Queue?","Wachtrij","Hint","Teken","Vragenlijst",1000,1.35,-0.39
"6","en_14","Wat betekent het woord Satisfied?","Tevreden","Gefrituurd","Actief","Ziek",1000,2.1,-1.27
"7","en_15","Wat betekent het woord Accessible?","Toegankelijk","Toegestaan","Succesvol","Versneld",1000,1.14,-0.77
"8","en_16","Wat betekent het woord Tiring?","Vermoeiend","Tijgerprint","Autoband","Trouwring",1000,1.34,-1.01
"9","en_17","Wat betekent het woord To exchange?","Uitwisselen","Veranderen","Verbinden","Vervangen",1000,1.16,-0.75
"10","en_18","Wat betekent het woord Moderate?","Gematigd","Tussenliggend","Zorgzaam","Streng",1000,0.83,-0.2
"11","en_19","Wat betekent het woord Parcel?","Pakketje","Parkbankje","Parkiet","Potlood",1000,0.8,-0.53
"12","en_2","Wat betekent het woord Leg?","Been","Arm","Hand","Voet",1000,1.22,-2.16
"13","en_20","Wat betekent het woord Statue?","Standbeeld","Monument","Kerk","Uitzichtpunt",1000,1.05,-1.57
"14","en_21","Wat betekent het woord To sew?","Naaien","Aanklagen","Zagen","Veroordelen",1000,1.36,-0.03
"15","en_22","Wat betekent het woord Sincerely?","Eerlijk","Zelfverzekerd","Spontaan","Snel",1000,1.76,0.06
"16","en_23","Wat betekent het woord To accelerate?","Versnellen","Autorijden","Verbeteren","Vertragen",1000,1.42,-0.77
"17","en_24","Wat betekent het woord Versatile?","Veelzijdig","Universeel","Afwisselend","Doorgrond",1000,1.21,-0.57
"18","en_25","Wat betekent het woord Meticulous?","Zorgvuldig","Ingewikkeld","Verward","Kwaadaardig",1000,0.9,1.07
"19","en_26","Wat betekent het woord Famine?","Hongersnood","Vrouwelijk","Beroemd","Berucht",1000,0.87,0.78
"20","en_27","Wat betekent het woord To carve?","(uit)snijden","Verhongeren","Sterven","(In)schenken",1000,1.7,-0.91
"21","en_28","Wat betekent het woord Obsolete?","Achterhaald","Lelijk","Uitgestorven","Koppig",1000,0.34,-0.07
"22","en_29","Wat betekent het woord Amnesia?","Geheugenverlies","Slaaptekort","Oververmoeidheid","Depressie",1000,0.93,-0.09
"23","en_3","Wat betekent het woord Flower?","Bloem","Flauw","Deeg","Vloeiend",1000,3.37,-2.39
"24","en_30","Wat betekent het woord Redundant?","Overbodig","Ongepland","Belangeloos","Voorspelbaar",1000,1.24,0.11
"25","en_31","Wat betekent het woord Ubiquitous?","Overal aanwezig","Alwetend","Oneindig","Universeel",1000,0.41,1.75
"26","en_32","Wat betekent het woord Zealous?","Ijverig","Ijdel","Spontaan","Jaloers",1000,0.76,0.82
"27","en_33","Wat betekent het woord Predicament?","Nare situatie","Aanname","Voorafgaande","Uitvlucht",1000,0.36,1.34
"28","en_34","Wat betekent het woord Aberration?","Afwijking","Verschrikking","Afwezigheid","Afwijzing",1000,0.53,0.45
"29","en_35","Wat betekent het woord Meritorious?","Verdienstelijk","Gedetailleerd","Berucht","Geheimzinning",1000,0.85,0.75
"30","en_36","Wat betekent het woord Ostracize?","Verbannen","Opnemen","Samenvoegen","Uiteenzetten",1000,0.65,1.16
"31","en_4","Wat betekent het woord Bicycle?","Fiets","Auto","Trein","Dubbeldekker",1000,3.53,-1.52
"32","en_5","Wat betekent het woord To try?","Proberen","Redden","Knippen","Tekenen",1000,2.83,-2.08
"33","en_6","Wat betekent het woord Beach?","Strand","Zand","Zee","Kust",1000,0.59,-4.42
"34","en_7","Wat betekent het woord Kitchen?","Keuken","Jonge kat","Jeuk","Badkamer",1000,3.67,-1.98
"35","en_8","Wat betekent het woord History?","Geschiedenis","Aarderijkskunde","Natuurkunde","Scheikunde",1000,2.45,-2.48
"36","en_9","Wat betekent het woord To believe?","Geloven","Zijn","Verlaten","Bellen",1000,2.37,-2.02
