"ItemLabel","Item","Choice1","Choice2","Choice3","Choice4","Choice5","Scores","a1","d1","d2","d3","d4"
"PPSE1","In the past 4 weeks, I felt stressed","Never","Rarely","Sometimes","Often","Always","01234",2.55,-0.31,0.56,1.47,2.25
"PPSE2","In the past 4 weeks, I felt that my problems kept piling up","Never","Rarely","Sometimes","Often","Always","01234",3.2,0.23,0.96,1.66,2.28
"PPSE3","In the past 4 weeks, I felt overwhelmed","Never","Rarely","Sometimes","Often","Always","01234",2.99,0.1,0.85,1.63,2.35
"PPSE4","In the past 4 weeks, I felt unable to manage things in my life","Never","Rarely","Sometimes","Often","Always","01234",3.32,0.38,1.13,1.92,2.48
"PPSE5","In the past 4 weeks, Everything bothered me","Never","Rarely","Sometimes","Often","Always","01234",2.42,0.33,1.12,1.96,2.83
"PPSE6","In the past 4 weeks, I felt under pressure","Never","Rarely","Sometimes","Often","Always","01234",2.66,0.14,0.8,1.72,2.47
"PPSE7","In the past 4 weeks, I had trouble concentrating","Never","Rarely","Sometimes","Often","Always","01234",2.3,-0.18,0.62,1.67,2.46
"PPSE8","In the past 4 weeks, I felt I had too much going on","Never","Rarely","Sometimes","Often","Always","01234",2.37,-0.18,0.59,1.56,2.36
"PPSE9","In the past 4 weeks, I had trouble making decisions","Never","Rarely","Sometimes","Often","Always","01234",2.49,0.04,0.9,1.83,2.54
"PPSE10","In the past 4 weeks, I felt concerned about what was going on in my life","Never","Rarely","Sometimes","Often","Always","01234",2.15,0,0.78,1.65,2.39
"PPSE11","In the past 4 weeks, Small things upset me","Never","Rarely","Sometimes","Often","Always","01234",2.14,-0.02,0.89,1.86,2.64
"PPSE12","In the past 4 weeks, I forgot things","Never","Rarely","Sometimes","Often","Always","01234",1.99,-0.49,0.52,1.65,2.47
"PPSE13","In the past 4 weeks, I felt like my thinking was slower than usual","Never","Rarely","Sometimes","Often","Always","01234",2.53,0.51,1.26,2.15,2.77
"PPSE14","In the past 4 weeks, I felt unable to remember answers, even for questions I knew the answer to","Never","Rarely","Sometimes","Often","Always","01234",2.12,0.25,1.04,1.91,2.86
"PPSE15","In the past 4 weeks, I felt so upset that I could not remember what happened or what I did","Never","Rarely","Sometimes","Often","Always","01234",2.66,0.83,1.38,2.06,2.78
"PPSE16","In the past 4 weeks, I had trouble controlling my thoughts","Never","Rarely","Sometimes","Often","Always","01234",2.1,0.37,1.23,2.14,2.94
"PPSE17","In the past 4 weeks, My thoughts went very fast","Never","Rarely","Sometimes","Often","Always","01234",2.1,-0.03,0.77,1.72,2.56
"PPSE18","In the past 4 weeks, I was slow to react to things","Never","Rarely","Sometimes","Often","Always","01234",2.48,0.64,1.48,2.27,2.93
"PPSE19","In the past 4 weeks, I felt unable to react to something that bothered me","Never","Rarely","Sometimes","Often","Always","01234",2.44,0.49,1.23,2.04,2.83
